"name","num_library","create_date","area","is_fenxiao","type_name","school_nature_name","address","content"
"北京工业大学","0","1960","1440","2","理工类","公办","平乐园校区：北京市朝阳区平乐园100号,通州校区：北京市通州区潞苑南大街89号","北京工业大学（BeijingUniversityOfTechnology）创建于1960年，是一所以工为主，工、理、经、管、文、法、艺术、教育相结合的多科性市属重点大学。1981年成为国家教育部批准的第一批硕士学位授予单位，1985年成为博士学位授予单位，1996年通过国家“211工程”预审，正式跨入国家二十一世纪重点建设的百所大学的行列。2017年9月，学校正式进入国家一流学科建设高校行列并顺利通过"
"北京大学","703万","1898","4117","2","综合类","公办","北京市海淀区颐和园路5号","北京大学创办于1898年，初名京师大学堂，是中国第一所国立综合性大学，也是当时中国最高教育行政机关。辛亥革命后，于1912年改为现名。作为新文化运动的中心和“五四”运动的策源地，作为中国最早传播马克思主义和民主科学思想的发祥地，作为中国共产党最早的活动基地，北京大学为民族的振兴和解放、国家的建设和发展、社会的文明和进步做出了不可替代的贡献，在"
"哈尔滨工业大学","271万","1920","0","2","理工类","公办","黑龙江省哈尔滨市南岗区西大直街92号","2020年6月7日，习近平总书记致信祝贺哈尔滨工业大学（简称哈工大）建校100周年。贺信指出：哈尔滨工业大学历史悠久。新中国成立以来，在党的领导下，学校扎根东北、爱国奉献、艰苦创业，打造了一大批国之重器，培养了一大批杰出人才，为党和人民作出了重要贡献。习近平总书记希望学校在新的起点上，坚持社会主义办学方向，紧扣立德树人根本任务，在教书育人、科"
"云南大学","360万","1922","4367","2","综合类","公办","东陆校区：云南省昆明市翠湖北路2号,呈贡校区：云南省昆明市呈贡区大学城东外环南路","云南大学始建于1922年，时为私立东陆大学，1934年更名为省立云南大学，1938年改为国立云南大学。1946年，《不列颠百科全书》将云南大学列为中国15所世界著名大学之一。1978年，云南大学被国务院确定为全国88所重点大学之一;1996年成为首批列入国家“211工程”重点建设大学;2004年成为教育部和云南省人民政府重点共建高校;2012年成为国家“中西部高校基础能力建设工程”和“"
"西北大学","232万","1902","2360","2","综合类","公办","长安校区：陕西省西安市长安区郭杜教育科技产业区学府大道1号,太白校区：陕西省西安市太白北路229号,桃园校区：陕西省西安市高新四路155号","西北大学肇始于1902年的陕西大学堂和京师大学堂速成科仕学馆。1912年始称西北大学。1923年改为国立西北大学。1937年西迁来陕的国立北平大学、北平师范大学、北洋工学院和北平研究院等组成国立西安临时大学，1938年改为国立西北联合大学，1939年复称国立西北大学。新中国成立后为教育部直属综合大学。1950年复名西北大学。1958年改隶陕西省主管。1978年被确定为全国重点大"
"中央民族大学","140万","1941","570","2","民族类","公办","北京市海淀区中关村南大街27号","中央民族大学（MinzuUniversityofChina）坐落于北京学府林立的海淀区，南邻国家图书馆，北依中关村科技园，校园环境典雅，古朴幽美，人文氛围浓郁，具有鲜明的民族特色。坐落于青龙湖畔的丰台校区于2021年9月正式启用，具有中式经典、山水校园风貌特点，彻底提升了“大文化”与“小空间”的匹配度，为中央民族大学跨越式发展提供了新起点。中央民族大学是党和国家为解"
"内蒙古大学","125万","1957","2233","2","综合类","公办","北校区：内蒙古自治区呼和浩特市赛罕区大学西街235号,南校区：内蒙古自治区呼和浩特市玉泉区昭君路24号","内蒙古大学位于内蒙古自治区首府、历史文化名城呼和浩特市，距北京400余公里，是中华人民共和国成立后党和国家在民族地区创办的第一所综合大学。学校于1957年高起点创办，时任国务院副总理、自治区主席乌兰夫任首任校长（1956—1968），原高教部综合大学司副司长于北辰任副校长，中科院学部委员、著名生物学家、北京大学一级教授、耶鲁大学博士李继侗先生来校执教"
"长安大学","0","1951","3745","2","理工类","公办","北校区：陕西省西安市未央区尚苑路,南校区：陕西省西安市南二环路中段","长安大学直属国家教育部，是国家首批“211工程”重点建设大学、国家“985优势学科创新平台”建设高校、国家“双一流”建设高校。学校创建于新中国百业待兴之时，壮大于改革浪潮迭起之际，兴盛于高等教育强国大势之中，与共和国同向同行七十余载。自1951年起，学校前身西安公路交通大学、西安工程学院、西北建筑工程学院相继成立。1956年开始招收来华留学生。1978年"
"大连海事大学","118万","1909","2070","2","理工类","公办","辽宁省大连市凌海路1号","大连海事大学（原大连海运学院）是交通运输部所属的全国重点大学，是国家“211工程”重点建设高校、国家“双一流”建设高校，是交通运输部、教育部、辽宁省人民政府、大连市人民政府共建高校。学校素有“航海家的摇篮”之称，是中国著名的高等航海学府，是被国际海事组织认定的世界上少数几所“享有国际盛誉”的海事院校之一。大连海事大学的发展历史，代表了"
"北京林业大学","131万","1952","13176","2","农林类","公办","北京市海淀区清华东路35号","北京林业大学是教育部直属、教育部与国家林业和草原局共建的全国重点大学，是国家首批“211工程”重点建设高校和国家“优势学科创新平台”建设项目试点高校，是国家“双一流”建设高校。历史积淀深厚。学校办学历史可追溯至1902年的京师大学堂农业科林学目。1952年全国高校院系调整，北京农业大学森林系与河北农学院森林系合并，成立北京林学院。1956年，北京农业"
